epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5487.07,0.99099,0.87073,1.08183,0.71813,0.67994,0.71887,0.49005,1.23103,1.0769,1.07344,0.000244,0.000244,0.000244
44,5614.11,0.98444,0.86494,1.08331,0.72348,0.68776,0.72549,0.49284,1.23695,1.06988,1.07619,0.000226,0.000226,0.000226
45,5740.8,0.9708,0.85028,1.07422,0.73218,0.68398,0.72435,0.4942,1.2177,1.06168,1.06687,0.000208,0.000208,0.000208
46,5865.32,0.94963,0.78913,1.05002,0.74853,0.68636,0.73278,0.50012,1.20671,1.05982,1.06997,0.00019,0.00019,0.00019
47,5987.16,0.92338,0.75838,1.03888,0.75204,0.68404,0.73668,0.50567,1.19063,1.04074,1.06106,0.000172,0.000172,0.000172
48,6110.02,0.89939,0.72479,1.02496,0.7456,0.69289,0.7384,0.50774,1.19047,1.02955,1.05393,0.000154,0.000154,0.000154
49,6233.1,0.89274,0.70438,1.01619,0.7397,0.6901,0.7346,0.50579,1.18985,1.04167,1.05712,0.000136,0.000136,0.000136
50,6355.03,0.86798,0.68762,1.00618,0.75912,0.6759,0.73133,0.50887,1.1778,1.04195,1.05513,0.000118,0.000118,0.000118
51,6477.46,0.86274,0.6762,1.00306,0.75956,0.68783,0.73788,0.5124,1.17293,1.03091,1.04844,0.0001,0.0001,0.0001
52,6600.89,0.85112,0.66003,0.99586,0.77196,0.68947,0.74002,0.51411,1.16628,1.02882,1.0446,8.2e-05,8.2e-05,8.2e-05
53,6723.66,0.838,0.64581,0.98967,0.77406,0.69181,0.74482,0.51646,1.16999,1.01905,1.04344,6.4e-05,6.4e-05,6.4e-05
54,6845.78,0.83419,0.63811,0.98876,0.79136,0.6883,0.74058,0.51549,1.17042,1.02195,1.04273,4.6e-05,4.6e-05,4.6e-05
55,6969.08,0.8195,0.6273,0.98226,0.7733,0.69551,0.74285,0.51855,1.16322,1.0212,1.04129,2.8e-05,2.8e-05,2.8e-05
